symbol,month,timestamp,open,high,low,close,volume,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,c-o,h-c,l-c,h-o,l-o,h-l,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,hc<co,hc<ho,lc<co,up,961 / 776,958 / 799,unnamed: 32,unnamed: 33,J,K,L,next_open,next_close,J_next,U,body_pct,upper_wick_pct,lower_wick_pct,next_body_pct,next_move_pct,U_pct,abs_U_pct,direction
ETHUSDT,2026-07,2026-07-01 04:00:00+00:00,1594.8100000000,1604.0200000000,1590.8900000000,1599.3500000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5400000000,4.6700000000,8.4600000000,1599.3500000000,1593.0000000000,-6.3500000000,-10.8900000000,0.0028467341,0.0029282485,0.0053047071,-0.0039703630,-0.0011349314,-0.0068283996,0.0068283996,-1
SOLUSDT,2026-07,2026-07-01 04:00:00+00:00,75.4800000000,75.8700000000,75.2500000000,75.5700000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0900000000,0.3000000000,0.3200000000,75.5600000000,75.2500000000,-0.3100000000,-0.4000000000,0.0011923688,0.0039745628,0.0042395337,-0.0041026998,-0.0030471648,-0.0052994171,0.0052994171,-1
XRPUSDT,2026-07,2026-07-01 04:00:00+00:00,1.0510000000,1.0544000000,1.0488000000,1.0516000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006000000,0.0028000000,0.0028000000,1.0517000000,1.0508000000,-0.0009000000,-0.0015000000,0.0005708849,0.0026641294,0.0026641294,-0.0008557573,-0.0001902950,-0.0014272122,0.0014272122,-1
BTCUSDT,2026-07,2026-07-01 05:00:00+00:00,59339.9900000000,59376.4800000000,59126.4200000000,59154.3300000000,0.0000000000,-0.125635832,59181.16204,58755.8000000000,-1.0000000000,-1.0000000000,-185.6600000000,222.1500000000,-27.9100000000,36.4900000000,-213.5700000000,250.0600000000,-212.8700000000,-213.5700000000,,-1.0000000000,l-c,,,1.0000000000,1.0000000000,1.0000000000,3.0000000000,,,-185.6600000000,371.3200000000,-185.6600000000,222.1500000000,27.9100000000,59154.3300000000,58755.8000000000,-398.5300000000,-212.8700000000,-0.0031287501,0.0037436811,0.0004703405,-0.0067371230,-0.0098447944,-0.0035872942,0.0035872942,-1
ETHUSDT,2026-07,2026-07-01 05:00:00+00:00,1599.3500000000,1600.8300000000,1591.2100000000,1593.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.3500000000,7.8300000000,1.7900000000,1593.0000000000,1575.9900000000,-17.0100000000,-10.6600000000,-0.0039703630,0.0048957389,0.0011192047,-0.0106779661,-0.0146059337,-0.0066652077,0.0066652077,-1
SOLUSDT,2026-07,2026-07-01 05:00:00+00:00,75.5600000000,75.7900000000,75.1400000000,75.2500000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3100000000,0.5400000000,0.1100000000,75.2400000000,74.3100000000,-0.9300000000,-0.6200000000,-0.0041026998,0.0071466384,0.0014557967,-0.0123604466,-0.0165431445,-0.0082053997,0.0082053997,-1
XRPUSDT,2026-07,2026-07-01 05:00:00+00:00,1.0517000000,1.0534000000,1.0485000000,1.0508000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0009000000,0.0026000000,0.0023000000,1.0509000000,1.0423000000,-0.0086000000,-0.0077000000,-0.0008557573,0.0024721879,0.0021869354,-0.0081834618,-0.0089379101,-0.0073214795,0.0073214795,-1
BTCUSDT,2026-07,2026-07-01 06:00:00+00:00,59154.3300000000,59156.0000000000,58534.3100000000,58755.8000000000,0.0000000000,-0.553448276,59098.949,58768.6500000000,-1.0000000000,1.0000000000,-398.5300000000,400.2000000000,-221.4900000000,1.6700000000,-620.0200000000,621.6900000000,411.3800000000,,h-l,1.0000000000,,,,1.0000000000,1.0000000000,1.0000000000,3.0000000000,True,,-398.5300000000,797.0600000000,-398.5300000000,400.2000000000,221.4900000000,58755.8000000000,58768.6500000000,12.8500000000,411.3800000000,-0.0067371230,0.0067653543,0.0037442737,0.0002187018,-0.0065198947,0.0069543514,0.0069543514,1
ETHUSDT,2026-07,2026-07-01 06:00:00+00:00,1593.0000000000,1593.1500000000,1571.5000000000,1575.9900000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.0100000000,17.1600000000,4.4900000000,1575.9900000000,1578.3600000000,2.3700000000,19.3800000000,-0.0106779661,0.0107721281,0.0028185813,0.0015038166,-0.0091902072,0.0121657250,0.0121657250,1
SOLUSDT,2026-07,2026-07-01 06:00:00+00:00,75.2400000000,75.2800000000,73.9600000000,74.3100000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9300000000,0.9700000000,0.3500000000,74.3200000000,74.8700000000,0.5500000000,1.4800000000,-0.0123604466,0.0128920787,0.0046517810,0.0074004306,-0.0049175970,0.0196703881,0.0196703881,1
XRPUSDT,2026-07,2026-07-01 06:00:00+00:00,1.0509000000,1.0510000000,1.0394000000,1.0423000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0086000000,0.0087000000,0.0029000000,1.0424000000,1.0441000000,0.0017000000,0.0103000000,-0.0081834618,0.0082786183,0.0027595394,0.0016308519,-0.0064706442,0.0098011228,0.0098011228,1
BTCUSDT,2026-07,2026-07-01 07:00:00+00:00,58755.8000000000,58823.9000000000,58600.0000000000,58768.6500000000,0.0000000000,0,58768.65,58973.9900000000,1.0000000000,1.0000000000,12.8500000000,55.2500000000,-168.6500000000,68.1000000000,-155.8000000000,223.9000000000,192.5000000000,,h-l,1.0000000000,,,,1.0000000000,0.0000000000,0.0000000000,1.0000000000,,,12.8500000000,25.7000000000,12.8500000000,55.2500000000,168.6500000000,58768.6400000000,58973.9900000000,205.3500000000,192.5000000000,0.0002187018,0.0009403327,0.0028703549,0.0034942105,0.0037135057,0.0032762723,0.0032762723,1
