"symbol","month","timestamp","open","high","low","close","volume"
"XRPUSDT","2026-05","1777593600","1.368","1.3732","1.3649","1.3693","0.0"
"XRPUSDT","2026-05","1777597200","1.3692","1.3738","1.3656","1.3714","0.0"
"XRPUSDT","2026-05","1777600800","1.3714","1.372","1.3685","1.3701","0.0"
"XRPUSDT","2026-05","1777604400","1.37","1.3804","1.3687","1.3764","0.0"
"XRPUSDT","2026-05","1777608000","1.3764","1.3787","1.374","1.3759","0.0"
"XRPUSDT","2026-05","1777611600","1.376","1.3784","1.3749","1.3766","0.0"
"XRPUSDT","2026-05","1777615200","1.3767","1.3788","1.3722","1.3734","0.0"
"XRPUSDT","2026-05","1777618800","1.3733","1.3757","1.3718","1.3749","0.0"
"XRPUSDT","2026-05","1777622400","1.3748","1.3807","1.374","1.3784","0.0"
"XRPUSDT","2026-05","1777626000","1.3784","1.3787","1.3741","1.3754","0.0"
"XRPUSDT","2026-05","1777629600","1.3754","1.3768","1.3716","1.3766","0.0"
"XRPUSDT","2026-05","1777633200","1.3766","1.3799","1.3755","1.3779","0.0"
"XRPUSDT","2026-05","1777636800","1.378","1.3877","1.3774","1.3834","0.0"
"XRPUSDT","2026-05","1777640400","1.3834","1.3996","1.3834","1.3984","0.0"
"XRPUSDT","2026-05","1777644000","1.3985","1.3999","1.3896","1.3948","0.0"
"XRPUSDT","2026-05","1777647600","1.3947","1.3998","1.3911","1.396","0.0"
"XRPUSDT","2026-05","1777651200","1.396","1.3985","1.3911","1.3915","0.0"
"XRPUSDT","2026-05","1777654800","1.3914","1.3952","1.3888","1.3949","0.0"
"XRPUSDT","2026-05","1777658400","1.3949","1.3957","1.3928","1.3936","0.0"
"XRPUSDT","2026-05","1777662000","1.3936","1.396","1.3921","1.3937","0.0"
"XRPUSDT","2026-05","1777665600","1.3938","1.3947","1.3828","1.3846","0.0"
"XRPUSDT","2026-05","1777669200","1.3846","1.389","1.3843","1.3887","0.0"
"XRPUSDT","2026-05","1777672800","1.3887","1.3903","1.3836","1.3836","0.0"
"XRPUSDT","2026-05","1777676400","1.3836","1.3858","1.3809","1.3858","0.0"
"XRPUSDT","2026-05","1777680000","1.3858","1.3904","1.3847","1.3863","0.0"
"XRPUSDT","2026-05","1777683600","1.3864","1.3888","1.3844","1.385","0.0"
"XRPUSDT","2026-05","1777687200","1.3849","1.3883","1.3812","1.3859","0.0"
"XRPUSDT","2026-05","1777690800","1.3859","1.3884","1.384","1.386","0.0"
"XRPUSDT","2026-05","1777694400","1.3859","1.386","1.3828","1.3849","0.0"
"XRPUSDT","2026-05","1777698000","1.3849","1.3851","1.3826","1.3838","0.0"
"XRPUSDT","2026-05","1777701600","1.3839","1.3877","1.3839","1.3871","0.0"
"XRPUSDT","2026-05","1777705200","1.3871","1.3885","1.3853","1.3853","0.0"
"XRPUSDT","2026-05","1777708800","1.3853","1.3857","1.3838","1.3847","0.0"
"XRPUSDT","2026-05","1777712400","1.3847","1.3878","1.3838","1.3865","0.0"
"XRPUSDT","2026-05","1777716000","1.3865","1.388","1.3862","1.3878","0.0"
"XRPUSDT","2026-05","1777719600","1.3878","1.3911","1.3852","1.3859","0.0"
"XRPUSDT","2026-05","1777723200","1.3859","1.388","1.3847","1.387","0.0"
"XRPUSDT","2026-05","1777726800","1.3871","1.3925","1.3871","1.3922","0.0"
"XRPUSDT","2026-05","1777730400","1.3922","1.3933","1.3899","1.3918","0.0"
"XRPUSDT","2026-05","1777734000","1.3918","1.3943","1.3912","1.3934","0.0"
"XRPUSDT","2026-05","1777737600","1.3934","1.395","1.3908","1.3929","0.0"
"XRPUSDT","2026-05","1777741200","1.393","1.3943","1.3913","1.3916","0.0"
"XRPUSDT","2026-05","1777744800","1.3916","1.3938","1.3896","1.3931","0.0"
"XRPUSDT","2026-05","1777748400","1.3931","1.3951","1.393","1.3946","0.0"
"XRPUSDT","2026-05","1777752000","1.3947","1.3948","1.3931","1.3932","0.0"
"XRPUSDT","2026-05","1777755600","1.3933","1.4003","1.3904","1.3935","0.0"
"XRPUSDT","2026-05","1777759200","1.3934","1.4003","1.3921","1.3961","0.0"
"XRPUSDT","2026-05","1777762800","1.3962","1.3969","1.3907","1.3937","0.0"
"XRPUSDT","2026-05","1777766400","1.3936","1.3945","1.3881","1.3892","0.0"
"XRPUSDT","2026-05","1777770000","1.3892","1.3893","1.3834","1.384","0.0"
"XRPUSDT","2026-05","1777773600","1.3839","1.3847","1.3814","1.3834","0.0"
"XRPUSDT","2026-05","1777777200","1.3833","1.3843","1.3819","1.384","0.0"
"XRPUSDT","2026-05","1777780800","1.3839","1.3854","1.382","1.3838","0.0"
"XRPUSDT","2026-05","1777784400","1.3838","1.3859","1.3836","1.385","0.0"
